bucket,games,accuracy,mean_confidence
50-52.5,387,0.5193798449612403,0.5124152988233333
52.5-55,300,0.5633333333333334,0.5368066030305892
55-57.5,176,0.5625,0.562179185371082
57.5-60,82,0.5487804878048781,0.5852156769049206
60-65,92,0.532608695652174,0.6238260679465469
65-70,47,0.5106382978723404,0.674073122935628
70-80,23,0.6956521739130435,0.7285894174486549
80+,2,0.5,0.8139384850227718
