model,accuracy,brier,log_loss,auc
v1_probability,0.5428313796212805,0.25595381144183477,0.7080313178828269,0.5600655793164918
v2_probability,0.5446348061316502,0.2495316003232454,0.6924257655141814,0.5507491526085344
logistic,0.503155996393147,0.2667858493235302,0.7326641635495862,0.5158515877611299
random_forest,0.5347159603246168,0.24999936186663352,0.6932046827926415,0.5356262239195353
neural_network,0.5284039675383229,0.2574371316451056,0.7099248275419194,0.5205781129031208
elo_pyth,0.5157799819657349,0.25651579194527413,0.7074191991179166,0.5303597103580189
xgboost,0.5266005410279531,0.2543492846265714,0.7022475666306979,0.5199698126955832
lightgbm,0.5184851217312895,0.2560788555685375,0.7062300949166573,0.528843839252604
catboost,0.4977457168620379,0.25158952797692474,0.6964310690592362,0.5184051474558738
