date,team_a,team_b,matchup_canonical,v2_pick,v2_probability,team_a_probability,score_sim_team_a_probability,model_votes_team_a,model_count,actual_winner,correct,simulations,p_logistic,p_random_forest,p_neural_network,p_elo_pyth,p_xgboost,p_lightgbm,p_catboost
2026-07-18,DET,LAA,DET-LAA,DET,0.67131,0.67131,0.79103,6,7,DET,1,100000,0.6417369138178752,0.534786749813415,0.4890983531501762,0.6462088597730562,0.5754905939102173,0.5541108413388073,0.5796109726388481
2026-07-18,KC,SD,KC-SD,SD,0.51159,0.48841,0.48454,4,7,KC,0,100000,0.6166558693474262,0.48529759890643837,0.4519083161686858,0.43031808673953836,0.5905789732933044,0.5653729248485995,0.5079904089010276
2026-07-18,MIA,MIL,MIA-MIL,MIA,0.51702,0.51702,0.6371,1,7,MIL,0,100000,0.466121375435869,0.4930447607624783,0.513081616755749,0.3802581618888567,0.401665061712265,0.4081037509465051,0.4863810791413565
2026-07-18,NYM,PHI,NYM-PHI,PHI,0.5171,0.4829,0.66573,4,7,PHI,1,100000,0.5672215783355863,0.46537787634671157,0.270168768967678,0.4258994152648709,0.5364922881126404,0.5100792061271696,0.5041825067221394
2026-07-18,SEA,SF,SEA-SF,SF,0.5082800000000001,0.49172,0.31284,5,7,SEA,0,100000,0.569852851977048,0.5070718765277726,0.529005966821458,0.491590234266804,0.5435960292816162,0.571352925380375,0.48814432154332377
2026-07-19,ATH,WSH,ATH-WSH,WSH,0.62374,0.37626,0.33542,2,7,WSH,1,100000,0.2576991963449317,0.517129030044566,0.24909792478455328,0.3919956538621661,0.5051771998405457,0.47957623469525906,0.47007883440067605
2026-07-19,ATL,TEX,ATL-TEX,ATL,0.59698,0.59698,0.72834,5,7,ATL,1,100000,0.56468257803902,0.527194949097767,0.4168765678572964,0.5761374553615105,0.527698278427124,0.5244819395978942,0.48579538495333363
2026-07-19,AZ,STL,AZ-STL,AZ,0.60689,0.60689,0.7824,4,7,AZ,1,100000,0.5246972054403878,0.4799560403909794,0.5137001318381247,0.5158700692782358,0.48585379123687744,0.56624983508029,0.4915857541058598
2026-07-19,BAL,HOU,BAL-HOU,BAL,0.60797,0.60797,0.71887,4,7,BAL,1,100000,0.5545091718713191,0.5066414339498091,0.5052765985096788,0.6140136839693268,0.4280986189842224,0.41066388036756474,0.4799115686794649
2026-07-19,BOS,TB,BOS-TB,BOS,0.67013,0.67013,0.94355,7,7,BOS,1,100000,0.6931676640523197,0.5549161846402668,0.5271160466718497,0.5873013048940067,0.5619756579399109,0.5593137348084585,0.5303196360297978
2026-07-19,CHC,MIN,CHC-MIN,MIN,0.50778,0.49222,0.39615,1,7,CHC,0,100000,0.3205223029550397,0.4533068410423549,0.45679367505319207,0.5576012801001424,0.34549400210380554,0.32438422250980575,0.42610493526104315
2026-07-19,CIN,COL,CIN-COL,CIN,0.54933,0.54933,0.53573,3,7,CIN,1,100000,0.5314605608999098,0.4877448074670017,0.4102863294820304,0.5204547622028709,0.4799402058124542,0.5641734636710523,0.46826421053025163
2026-07-19,CLE,PIT,CLE-PIT,PIT,0.5094000000000001,0.4906,0.29978,5,7,PIT,1,100000,0.49990324483911586,0.6045881415024541,0.5758136322206993,0.45120026857275614,0.6663147211074829,0.6521505570287593,0.5977034783505853
2026-07-19,CWS,TOR,CWS-TOR,CWS,0.62659,0.62659,0.87394,4,7,CWS,1,100000,0.4875954018669802,0.5042277741762865,0.5349339060894175,0.588559480553557,0.48008325695991516,0.4330343183005197,0.5048106196111016
2026-07-19,DET,LAA,DET-LAA,DET,0.68977,0.68977,0.8813,6,7,LAA,0,100000,0.5318000141959953,0.5374415021822564,0.454814434194831,0.6733597107947683,0.5829653739929199,0.628575699980173,0.5589972314545342
2026-07-19,KC,SD,KC-SD,SD,0.5194799999999999,0.48052,0.62476,4,7,SD,1,100000,0.6279779259676106,0.4567116933780732,0.4515247603135844,0.47666340244043254,0.6061845421791077,0.6459520274463895,0.5159840619172053
2026-07-19,MIA,MIL,MIA-MIL,MIL,0.50768,0.49232,0.52898,4,7,MIL,1,100000,0.4838340505362184,0.5325024540465886,0.4787956829315096,0.35019795607868043,0.5457513928413391,0.6073873393007684,0.5681287649995483
2026-07-19,NYM,PHI,NYM-PHI,NYM,0.56224,0.56224,0.705,6,7,NYM,1,100000,0.805962577357062,0.5692789405973219,0.5478171782811718,0.3872824769962155,0.697961151599884,0.6641525322756583,0.640320181199093
2026-07-19,SEA,SF,SEA-SF,SEA,0.50852,0.50852,0.38551,3,7,SEA,1,100000,0.5504267517853219,0.47616176935088544,0.47066536370666423,0.5409590378543008,0.3946501910686493,0.4344961485096647,0.5103455718175312
